Experiment_ID;Base_Model_Arch;Optimization_Category;Specific_Technique;Key_Parameters;Top_1_Acc;Top_5_Acc;Model_Size_MB_Disk;FT_Epochs_Run;FT_Time_seconds;Inference_Time_ms_CPU (Batch 1);Inference_Time_ms_GPU (Batch 1);flops_gmacs;params_millions;non_zero_params;Notes_from_Log
resnet18_baseline;ResNet18;Baseline;Baseline;N/A;0.5008921743563599;0.7631914;44.66958;15;1406.56149;35.31372;3.52352;1.824033792;11.689512;11.689512;
resnet50_baseline;ResNet50;Baseline;Baseline;N/A;0.649502931430028;0.8748407;97.79614;30;5395.38120;88.06000;7.87376;4.133742592;25.557032;25.557032;
resnet18pretrained_distilled_quant_kmeans_256clusters_post;ResNet18;Combined;KMeans Quant;Clusters: 256;0.5368340555697171;0.8032118;44.66733;0;0.00000;37.22856;3.33568;1.824033792;11.689512;11.689512;K-Means Weight Quantization (256 clusters) applied to a distilled, pretrained ResNet18. No training epochs for quantization step. Evaluation metrics from original log. Codebook info was generated.
resnet18pretrained_distilled_quant_ptq_int8_perchannel_post;ResNet18;Combined;PTQ INT8 (Per-Channel);N/A;0.5077746622482794;0.7807800;11.30209;0;0.00000;19.01976;N/A (Known JIT GPU Unstable);N/A (JIT Model);N/A (JIT Model);N/A (JIT Model);Post-Training Quantization (per-channel) applied to a distilled, pretrained ResNet18. No training epochs for quantization step. Evaluation metrics from original log.
resnet18pretrained_distilled_quant_ptq_int8_pertensor_post;ResNet18;Combined;PTQ INT8 (Per-Tensor);N/A;0.5335202651032374;0.8027020;11.30076;0;0.00000;18.31738;N/A (Known JIT GPU Unstable);N/A (JIT Model);N/A (JIT Model);N/A (JIT Model);Post-Training Quantization (per-tensor) applied to a distilled, pretrained ResNet18. No training epochs for quantization step. Evaluation metrics from original log.
resnet18pretrained_distilled_quant_qat_int8_epochs8;ResNet18;Combined;QAT INT8;QAT Epochs: 8;0.5355595207749172;0.8044864;11.29939;8;1155.46389;17.96892;N/A (Known JIT GPU Unstable);N/A (JIT Model);N/A (JIT Model);N/A (JIT Model);Quantization Aware Training applied to a distilled, pretrained ResNet18. Epoch data refers to QAT fine-tuning. Evaluation metrics from original log.
resnet50_to_resnet18pretrained_kd;ResNet18;Knowledge Distillation;Knowledge Distillation;T:resnet50->S:resnet18;0.538108590364517;0.8027020;44.67078;15;2067.91055;37.01086;3.47354;1.824033792;11.689512;11.689512;
resnet50_to_resnet18scratch_kd;ResNet18;Knowledge Distillation;Knowledge Distillation;T:resnet50->S:resnet18;0.1763956156003059;0.4017334;44.67078;15;2004.46795;36.02530;3.41316;1.824033792;11.689512;11.689512;
resnet50_prune_nm24_ft;ResNet50;Pruning;N:M Sparsity;N:2, M:4;0.6426204435381085;0.8730563;97.79861;15;3051.65437;89.32968;9.58856;4.133742592;25.557032;13.829576;
resnet50_prune_struct_it_l1filter_stage1_approx_sp50_ft;ResNet50;Pruning;Iterative Structured Pruning (L1 Filter);Target Sparsity: 50.0%;0.49936273260260006;0.7675249;49.60373;5;675.39339;57.95676;8.98030;2.042114256;12.935549;12.935549;
resnet50_prune_struct_it_l1filter_stage2_approx_sp75_ft;ResNet50;Pruning;Iterative Structured Pruning (L1 Filter);Target Sparsity: 75.0%;0.29824114198317614;0.5799133;25.49252;10;1021.56831;37.59312;11.46844;1.012597635;6.626072;6.626072;
resnet50_prune_struct_it_l1filter_stage3_approx_sp90_ft;ResNet50;Pruning;Iterative Structured Pruning (L1 Filter);Target Sparsity: 90.0%;0.13076518225850832;0.3405557;10.21170;15;1358.46598;24.75034;8.29152;0.382400928;2.630579;2.630579;
resnet50_prune_struct_os_l1filter_fp30_ft;ResNet50;Pruning;One-Shot Structured Pruning (L1 Filter);Target Sparsity: 50.0%;0.5477950548049961;0.8100943;49.59605;15;2030.61859;56.12866;9.36346;2.042114256;12.935549;12.935549;
resnet50_prune_struct_os_l1filter_fp55_ft;ResNet50;Pruning;One-Shot Structured Pruning (L1 Filter);Target Sparsity: 75.0%;0.22074936273260006;0.4840683;21.86064;15;1472.21088;35.38324;8.50816;0.865708368;5.678189;5.678189;
resnet50_prune_struct_os_l1filter_fp70_ft;ResNet50;Pruning;One-Shot Structured Pruning (L1 Filter);Target Sparsity: 90.0%;0.05709915880703543;0.1947489;10.56108;15;1346.40862;25.03054;8.32954;0.400809619;2.724022;2.724022;
resnet50_prune_unstruct_it_l1_stage1_sp50_ft;ResNet50;Pruning;Iterative Unstructured Pruning (L1);Target Sparsity: 50.0%;0.6605647208768799389;0.853138;97.79218;5;665.13087;88.04078;8.22656;4.133742592;25.557032;12.752456;
resnet50_prune_unstruct_it_l1_stage2_sp75_ft;ResNet50;Pruning;Iterative Unstructured Pruning (L1);Target Sparsity: 75.0%;0.6194745347947998981;0.79276;97.79218;10;1337.13718;86.65992;7.89072;4.133742592;25.557032;6.376728;
resnet50_prune_unstruct_it_l1_stage3_sp90_ft;ResNet50;Pruning;Iterative Unstructured Pruning (L1);Target Sparsity: 90.0%;0.4649502931430028;0.7519755;97.80362;15;2093.07571;94.62280;7.99122;4.133742592;25.557032;2.551291;
resnet50_prune_unstruct_os_l1_sp50_ft;ResNet50;Pruning;One-Shot Unstructured Pruning (L1);Target Sparsity: 50.0%;0.6645424420086669;0.8860566;97.80331;15;2085.63127;90.80236;8.09102;4.133742592;25.557032;12.752456;
resnet50_prune_unstruct_os_l1_sp75_ft;ResNet50;Pruning;One-Shot Unstructured Pruning (L1);Target Sparsity: 75.0%;0.6240122355340301;0.8598012;97.80331;15;1945.38252;103.82330;8.23356;4.133742592;25.557032;6.376728;
resnet50_prune_unstruct_os_l1_sp90_ft;ResNet50;Pruning;One-Shot Unstructured Pruning (L1);Target Sparsity: 90.0%;0.41830231965332654;0.7122100;97.80331;15;2004.42808;89.49998;8.24150;4.133742592;25.557032;2.551291;
resnet50_quant_kmeans_256clusters_post;ResNet50;Quantization;KMeans Quant;Clusters: 256;0.6492480244710681;0.8730563;97.79564;0;0.00000;89.61634;9.13594;4.133742592;25.557032;25.557032;K-Means Weight Quantization (256 clusters). No training epochs for quantization step. Evaluation metrics from original log. Codebook info was generated.
resnet50_quant_ptq_int8_perchannel_post;ResNet50;Quantization;PTQ INT8 (Per-Channel);N/A;0.6069334692837114;0.8404282;24.94237;0;0.00000;44.42032;N/A (Known JIT GPU Unstable);N/A (JIT Model);N/A (JIT Model);N/A (JIT Model);Post-Training Quantization (per-channel). No training epochs for quantization step. Evaluation metrics from original log.
resnet50_quant_ptq_int8_pertensor_post;ResNet50;Quantization;PTQ INT8 (Per-Tensor);N/A;0.649757838388988;0.8735661;24.94018;0;0.00000;41.93892;N/A (Known JIT GPU Unstable);N/A (JIT Model);N/A (JIT Model);N/A (JIT Model);Post-Training Quantization (per-tensor). No training epochs for quantization step. Evaluation metrics from original log.
resnet50_quant_qat_int8_epochs8;ResNet50;Quantization;QAT INT8;QAT Epochs: 8;0.6635228141728269;0.8807035;24.93738;8;2333.11918;42.46538;N/A (Known JIT GPU Unstable);N/A (JIT Model);N/A (JIT Model);N/A (JIT Model);Quantization Aware Training. Epoch data refers to QAT fine-tuning. Evaluation metrics from original log.
;;;;;;;;;;;;;;;
